,ID,Name,RegionID,IncomeLevelID
166,RWA,Rwanda,SSF,LIC
167,SAU,Saudi Arabia,MEA,HIC
168,SDN,Sudan,SSF,LIC
169,SEN,Senegal,SSF,LMC
170,SGP,Singapore,EAS,HIC
171,SLB,Solomon Islands,EAS,LMC
172,SLE,Sierra Leone,SSF,LIC
173,SLV,El Salvador,LCN,LMC
174,SMR,San Marino,ECS,HIC
175,SOM,Somalia,SSF,LIC
176,SRB,Serbia,ECS,UMC
177,SSD,South Sudan,SSF,LIC
178,STP,Sao Tome and Principe,SSF,LMC
179,SUR,Suriname,LCN,UMC
180,SVK,Slovak Republic,ECS,HIC
181,SVN,Slovenia,ECS,HIC
182,SWE,Sweden,ECS,HIC
183,SWZ,Eswatini,SSF,LMC
184,SXM,Sint Maarten (Dutch part),LCN,HIC
185,SYC,Seychelles,SSF,HIC
186,SYR,Syrian Arab Republic,MEA,LIC
187,TCA,Turks and Caicos Islands,LCN,HIC
188,TCD,Chad,SSF,LIC
189,TGO,Togo,SSF,LIC
190,THA,Thailand,EAS,UMC
191,TJK,Tajikistan,ECS,LMC
192,TKM,Turkmenistan,ECS,UMC
193,TLS,Timor-Leste,EAS,LMC
194,TON,Tonga,EAS,UMC
195,TTO,Trinidad and Tobago,LCN,HIC
196,TUN,Tunisia,MEA,LMC
197,TUR,Turkey,ECS,UMC
198,TUV,Tuvalu,EAS,UMC
199,TZA,Tanzania,SSF,LMC
200,UGA,Uganda,SSF,LIC
201,UKR,Ukraine,ECS,LMC
202,URY,Uruguay,LCN,HIC
203,USA,United States,NAC,HIC
204,UZB,Uzbekistan,ECS,LMC
205,VCT,St. Vincent and the Grenadines,LCN,UMC
206,VEN,"Venezuela, RB",LCN,INX
207,VGB,British Virgin Islands,LCN,HIC
208,VIR,Virgin Islands (U.S.),LCN,HIC
209,VNM,Vietnam,EAS,LMC
210,VUT,Vanuatu,EAS,LMC
211,WSM,Samoa,EAS,LMC
212,XKX,Kosovo,ECS,UMC
213,YEM,"Yemen, Rep.",MEA,LIC
214,ZAF,South Africa,SSF,UMC
215,ZMB,Zambia,SSF,LMC
216,ZWE,Zimbabwe,SSF,LMC
